date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:38	66083/66083	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:00%20GMT	https://websmirno.site/voicer/img/studio-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/studio-2.jpg	(from https://websmirno.site/voicer/index.html)
10:45:38	45400/45400	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:01%20GMT	https://websmirno.site/voicer/img/studio-3.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/studio-3.jpg	(from https://websmirno.site/voicer/index.html)
10:45:38	17875/17875	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:50%20GMT	https://websmirno.site/voicer/img/project-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-1.jpg	(from https://websmirno.site/voicer/index.html)
10:45:39	25582/25582	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:50%20GMT	https://websmirno.site/voicer/img/project-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-2.jpg	(from https://websmirno.site/voicer/index.html)
10:45:39	17766/17766	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:51%20GMT	https://websmirno.site/voicer/img/project-3.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-3.jpg	(from https://websmirno.site/voicer/index.html)
10:45:39	17875/17875	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:52%20GMT	https://websmirno.site/voicer/img/project-4.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-4.jpg	(from https://websmirno.site/voicer/index.html)
10:45:40	25582/25582	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:53%20GMT	https://websmirno.site/voicer/img/project-5.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-5.jpg	(from https://websmirno.site/voicer/index.html)
10:45:40	17766/17766	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:53%20GMT	https://websmirno.site/voicer/img/project-6.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/project-6.jpg	(from https://websmirno.site/voicer/index.html)
10:45:40	70834/70834	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:16%20GMT	https://websmirno.site/voicer/img/clients-bg-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/clients-bg-2.jpg	(from https://websmirno.site/voicer/index.html)
10:45:40	45886/45886	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:35%20GMT	https://websmirno.site/voicer/img/news-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-1.jpg	(from https://websmirno.site/voicer/index.html)
10:45:41	32697/32697	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:35%20GMT	https://websmirno.site/voicer/img/news-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-2.jpg	(from https://websmirno.site/voicer/index.html)
10:45:41	45338/45338	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:35%20GMT	https://websmirno.site/voicer/img/news-3.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-3.jpg	(from https://websmirno.site/voicer/index.html)
10:45:41	45886/45886	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:36%20GMT	https://websmirno.site/voicer/img/news-4.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-4.jpg	(from https://websmirno.site/voicer/index.html)
10:45:43	32697/32697	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:36%20GMT	https://websmirno.site/voicer/img/news-5.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-5.jpg	(from https://websmirno.site/voicer/index.html)
10:45:43	45338/45338	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:37%20GMT	https://websmirno.site/voicer/img/news-6.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/news-6.jpg	(from https://websmirno.site/voicer/index.html)
10:45:44	1055/1055	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:54%20GMT	https://websmirno.site/voicer/img/quote.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/quote.png	(from https://websmirno.site/voicer/index.html)
10:45:45	33504/33504	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:17%20GMT	https://websmirno.site/voicer/img/engineer-1.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-1.png	(from https://websmirno.site/voicer/index.html)
10:45:45	243380/243380	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:03%20GMT	https://websmirno.site/voicer/img/testimonials-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/testimonials-1.jpg	(from https://websmirno.site/voicer/index.html)
10:45:47	30515/30515	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:19%20GMT	https://websmirno.site/voicer/img/engineer-3.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-3.png	(from https://websmirno.site/voicer/index.html)
10:45:47	42908/42908	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:20%20GMT	https://websmirno.site/voicer/img/engineer-4.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-4.png	(from https://websmirno.site/voicer/index.html)
10:45:47	39621/39621	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:18%20GMT	https://websmirno.site/voicer/img/engineer-2.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-2.png	(from https://websmirno.site/voicer/index.html)
10:45:47	34447/34447	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:20%20GMT	https://websmirno.site/voicer/img/engineer-5.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-5.png	(from https://websmirno.site/voicer/index.html)
10:45:48	44018/44018	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:58:21%20GMT	https://websmirno.site/voicer/img/engineer-6.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineer-6.png	(from https://websmirno.site/voicer/index.html)
10:45:48	196633/196633	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:22%20GMT	https://websmirno.site/voicer/img/engineers-bg.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/engineers-bg.jpg	(from https://websmirno.site/voicer/index.html)
10:45:48	44512/44512	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:22%20GMT	https://websmirno.site/voicer/img/footer_bg.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/footer_bg.jpg	(from https://websmirno.site/voicer/index.html)
10:45:49	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/DELL/Desktop/studio%202/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://websmirno.site/voicer/index.html)
10:45:49	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/Users/DELL/Desktop/studio%202/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://websmirno.site/voicer/index.html)
10:45:50	58072/58072	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:18%20GMT	https://websmirno.site/voicer/vendor/bootstrap/js/bootstrap.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/bootstrap/js/bootstrap.min.js	(from https://websmirno.site/voicer/index.html)
10:45:50	5023/5023	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:52%20GMT	https://websmirno.site/voicer/vendor/lazy-load/jquery.lazy.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/lazy-load/jquery.lazy.min.js	(from https://websmirno.site/voicer/index.html)
10:45:51	42863/42863	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:49:08%20GMT	https://websmirno.site/voicer/vendor/slick/slick/slick.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/slick/slick/slick.min.js	(from https://websmirno.site/voicer/index.html)
10:45:51	2852/2852	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:49:05%20GMT	https://websmirno.site/voicer/vendor/paroller/dist/jquery.paroller.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/paroller/dist/jquery.paroller.min.js	(from https://websmirno.site/voicer/index.html)
10:45:51	45479/45479	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:02%20GMT	https://websmirno.site/voicer/vendor/scrollbar/jquery.mCustomScrollbar.concat.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/scrollbar/jquery.mCustomScrollbar.concat.min.js	(from https://websmirno.site/voicer/index.html)
10:45:52	11790/11790	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:07%20GMT	https://websmirno.site/voicer/vendor/tilt/tilt.jquery.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/tilt/tilt.jquery.js	(from https://websmirno.site/voicer/index.html)
10:45:52	68253/68253	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:20%20GMT	https://websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.js	(from https://websmirno.site/voicer/index.html)
10:45:52	8185/8185	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:50%20GMT	https://websmirno.site/voicer/vendor/input-mask/jquery.mask.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/input-mask/jquery.mask.min.js	(from https://websmirno.site/voicer/index.html)
10:45:53	123457/123457	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:46%20GMT	https://websmirno.site/voicer/vendor/bootstrap-datetimepicker/moment.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/bootstrap-datetimepicker/moment.js	(from https://websmirno.site/voicer/index.html)
10:45:53	38510/38510	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:45%20GMT	https://websmirno.site/voicer/vendor/bootstrap-datetimepicker/bootstrap-datetimepicker.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/bootstrap-datetimepicker/bootstrap-datetimepicker.min.js	(from https://websmirno.site/voicer/index.html)
10:45:54	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed9-5e27%22	https://cdnjs.cloudflare.com/ajax/libs/masonry/4.2.2/masonry.pkgd.min.js	C:/Users/DELL/Desktop/studio%202/cdnjs.cloudflare.com/ajax/libs/masonry/4.2.2/masonry.pkgd.min.js	(from https://websmirno.site/voicer/index.html)
10:45:55	4442/4442	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-115a%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.min.js	C:/Users/DELL/Desktop/studio%202/cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.min.js	(from https://websmirno.site/voicer/index.html)
10:45:55	35248/35248	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:03%20GMT	https://websmirno.site/voicer/vendor/shuffle/isotope.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/shuffle/isotope.js	(from https://websmirno.site/voicer/index.html)
10:45:56	41095/41095	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:50%20GMT	https://websmirno.site/voicer/vendor/form-validation/jquery.form.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/form-validation/jquery.form.js	(from https://websmirno.site/voicer/index.html)
10:45:56	21068/21068	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:50%20GMT	https://websmirno.site/voicer/vendor/form-validation/jquery.validate.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/form-validation/jquery.validate.min.js	(from https://websmirno.site/voicer/index.html)
10:45:56	23457/23457	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:57%20GMT	https://websmirno.site/voicer/vendor/noUiSlider/nouislider.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/noUiSlider/nouislider.min.js	(from https://websmirno.site/voicer/index.html)
10:45:57	8785/8785	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:48:13%20GMT	https://websmirno.site/voicer/vendor/wnumb/wNumb.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/wnumb/wNumb.js	(from https://websmirno.site/voicer/index.html)
10:45:57	25201/25201	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:45%20GMT	https://websmirno.site/voicer/vendor/awp-player/wavesurfer.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/awp-player/wavesurfer.min.js	(from https://websmirno.site/voicer/index.html)
10:45:57	38084/38084	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:43%20GMT	https://websmirno.site/voicer/vendor/awp-player/jsmediatags.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/awp-player/jsmediatags.min.js	(from https://websmirno.site/voicer/index.html)
10:45:58	5723/5723	---M--	200	added ('OK')	application/javascript	date:Wed,%2006%20Nov%202019%2014:44:12%20GMT	https://websmirno.site/voicer/vendor/awp-player/new_cb.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/awp-player/new_cb.js	(from https://websmirno.site/voicer/index.html)
10:45:58	54212/54212	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:44%20GMT	https://websmirno.site/voicer/vendor/awp-player/new.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/awp-player/new.js	(from https://websmirno.site/voicer/index.html)
10:45:58	6784/6784	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:47:51%20GMT	https://websmirno.site/voicer/vendor/instafeed/instafeed.min.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/instafeed/instafeed.min.js	(from https://websmirno.site/voicer/index.html)
10:45:59	18739/18739	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2010:59:10%20GMT	https://websmirno.site/voicer/js/common.js	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/js/common.js	(from https://websmirno.site/voicer/index.html)
10:45:59	15904/15904	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Aug%202019%2008:48:51%20GMT	https://websmirno.site/voicer/css/fonts/recording.eot?tc8bkk	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/css/fonts/recording5960.eot	(from https://websmirno.site/voicer/css/index.css)
10:45:59	15732/15732	---M--	200	added ('OK')	font/ttf	date:Fri,%2016%20Aug%202019%2008:48:52%20GMT	https://websmirno.site/voicer/css/fonts/recording.ttf?tc8bkk	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/css/fonts/recording5960.ttf	(from https://websmirno.site/voicer/css/index.css)
10:46:00	15808/15808	---M--	200	added ('OK')	font/woff	date:Fri,%2016%20Aug%202019%2008:48:52%20GMT	https://websmirno.site/voicer/css/fonts/recording.woff?tc8bkk	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/css/fonts/recording5960.woff	(from https://websmirno.site/voicer/css/index.css)
